Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
VOO,624.6,2026/04/10,16:00 EDT,-0.420044,626.325,626.99,623.72,4587090,20260410,624.16,3.0,,,,,BUY
XLV,147.31,2026/04/10,16:00 EDT,-2.02,149.78,149.78,147.115,6207219,20260203,154.415,5.0,,,,,BUY
BN,42.14,2026/04/10,16:00 EDT,-0.190002,42.37,42.755,42.015,4343789,20260410,42.12,14.0,,,,,BUY
BN,42.14,2026/04/10,16:00 EDT,-0.190002,42.37,42.755,42.015,4343789,20251208,46.1,10.0,,,,,BUY
CPNG,19.76,2026/04/10,16:00 EDT,0.1,19.81,19.995,19.6301,12223872,20251201,26.96,23.0,,,,,BUY
GOOGL,317.24,2026/04/10,16:00 EDT,-1.2350159,320.25,321.83,316.33,18914274,20250611,179.13,4.46,,,,,BUY
NVDA,188.63,2026/04/10,16:00 EDT,4.6930084,184.42,190.0,184.3,159395820,20250929,183.0,2.0,,,,,BUY
NVDA,188.63,2026/04/10,16:00 EDT,4.6930084,184.42,190.0,184.3,159395820,20250611,144.2,4.68,,,,,BUY
QQQM,251.6,2026/04/10,16:00 EDT,0.37001038,251.94,252.63,250.98,2148652,20250325,203.06,6.0,,,,,BUY
QQQM,251.6,2026/04/10,16:00 EDT,0.37001038,251.94,252.63,250.98,2148652,20250305,202.04,5.0,,,,,BUY
SPY,679.46,2026/04/10,16:00 EDT,-0.449951,681.32,682.03,678.45,41606521,20250305,572.45,8.0,,,,,BUY
KSM-F34.TA,133180.0,2026/04/13,11:30 IDT,-1970.0,135100.0,135100.0,131040.0,3019,20250326,48070.0,6.0,,,,,BUY
KSM-F34.TA,133180.0,2026/04/13,11:30 IDT,-1970.0,135100.0,135100.0,131040.0,3019,20250305,48100.0,7.0,,,,,BUY
KSM-F77.TA,74690.0,2026/04/13,11:32 IDT,-1430.0,75590.0,75700.0,74660.0,3455,20250305,50580.0,7.0,,,,,BUY
AMZN,238.38,2026/04/10,16:00 EDT,4.7299957,235.38,240.43,235.21,56861543,20260203,237.33,1.0,,,,,BUY
AMZN,238.38,2026/04/10,16:00 EDT,4.7299957,235.38,240.43,235.21,56861543,20250929,221.42,2.0,,,,,BUY
ILS=X,3.06058,2026/04/13,09:47 BST,0.02218008,3.0384,3.0641,3.0384,0,,,,,,,,
IBIT,41.56,2026/04/10,16:00 EDT,0.6500015,41.02,41.5889,40.765,34196468,20250611,62.7,8.0,,,,,BUY
IBIT,41.56,2026/04/10,16:00 EDT,0.6500015,41.02,41.5889,40.765,34196468,20250325,50.05,10.0,,,,,BUY
IBIT,41.56,2026/04/10,16:00 EDT,0.6500015,41.02,41.5889,40.765,34196468,20250305,50.41,19.0,,,,,BUY
ETHA,17.05,2026/04/10,16:00 EDT,0.27999878,16.78,17.06,16.68,29621335,20250929,31.72,10.0,,,,,BUY
NLR,136.75,2026/04/10,16:00 EDT,0.210007,136.6,139.22,136.1701,274940,20250611,105.67,7.0,,,,,BUY
URNM,64.44,2026/04/10,16:00 EDT,-0.169998,64.89,66.1,64.34,454906,20250630,47.01,18.0,,,,,BUY
ITA,229.64,2026/04/10,16:00 EDT,-2.12,231.84,231.84,227.4785,447949,20250627,186.7,6.0,,,,,BUY
PLTK,3.13,2026/04/10,16:00 EDT,-0.049999952,3.2,3.21,3.1,1130045,,,,,,,,
